"Company","Parent Company","Location","City","County","Address","Zip","Project Description","NAICS Industry Code","Year","Subsidy Value","Megadeal Contribution","Subsidy Value Adjusted For Megadeal","Program Name","Awarding Agency","Type of Subsidy","Number of Jobs or Training Slots","Wage Data","Wage Data Type","Investment Data","Source of Data","Notes","Subsidy Source","CFDA Program Number","Loan Value","State in Which Facility Is Located","HQ State of Parent","HQ Country of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent"
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","SHERWOOD","WASHINGTON","","97140","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","SHERWOOD","WASHINGTON","","97140","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","SHERWOOD","WASHINGTON","","97140","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","SHERWOOD","WASHINGTON","","97140","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","SHERWOOD","WASHINGTON","","97140","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","SHERWOOD","WASHINGTON","","97140","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Meadow Outdoor Advertising","","Oregon","Multiple","Multiple","","","","","2018","$1,850","$0","$1,850","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","PORTLAND","WASHINGTON","","97229","","","2018","$1,853","$0","$1,853","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","PORTLAND","WASHINGTON","","97229","","","2018","$1,853","$0","$1,853","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Forest Grove","Washington","","97116","","","2018","$1,870","$0","$1,870","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Portland","Washington","","97229","","","2018","$1,870","$0","$1,870","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","POWELL BUTTE","CROOK","","97753","","","2018","$1,870","$0","$1,870","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Forest Grove","Washington","","97116","","","2018","$1,870","$0","$1,870","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","SHERWOOD","WASHINGTON","","97140","","","2018","$1,870","$0","$1,870","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","SHERWOOD","WASHINGTON","","97140","","","2018","$1,870","$0","$1,870","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","OREGON CITY","CLACKAMAS","","97045","","","2018","$1,870","$0","$1,870","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","SHERWOOD","WASHINGTON","","97140","","","2018","$1,870","$0","$1,870","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,870","$0","$1,870","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","HAPPY VALLEY","CLACKAMAS","","97086","","","2018","$1,870","$0","$1,870","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","PORTLAND","MULTNOMAH","","97219","","","2018","$1,902","$0","$1,902","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,905","$0","$1,905","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","SHERWOOD","WASHINGTON","","97140","","","2018","$1,905","$0","$1,905","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Meadow Outdoor Advertising","","Oregon","Multiple","Multiple","","","","","2018","$1,940","$0","$1,940","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Multnomah","","97239","","","2018","$1,944","$0","$1,944","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","PORTLAND","MULTNOMAH","","97239","","","2018","$1,944","$0","$1,944","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","PORTLAND","MULTNOMAH","","97214","","","2018","$1,945","$0","$1,945","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Washington","","97229","","","2018","$1,999","$0","$1,999","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"French Prairie Village Condominiums","","Oregon","Wilsonville","Clackamas","","97070","","","2018","$2,030","$0","$2,030","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Meadow Outdoor Advertising","","Oregon","Multiple","Multiple","","","","","2018","$2,070","$0","$2,070","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
